epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
1,0.7018,0.6962,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
2,0.6953,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
3,0.6949,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
4,0.6943,0.6963,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
5,0.6949,0.6935,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
6,0.6943,0.6974,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
7,0.6946,0.6953,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
8,0.6951,0.6934,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
9,0.6954,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
10,0.6948,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
11,0.6944,0.694,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
12,0.6944,0.6946,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
13,0.6939,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
14,0.696,0.6937,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
15,0.6945,0.6933,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
16,0.6962,0.6987,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
17,0.697,0.6941,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
18,0.6941,0.6933,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
19,0.6949,0.6934,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
20,0.699,0.6934,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
21,0.6948,0.7023,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
22,0.6968,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
23,0.6961,0.7045,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
24,0.6945,0.6976,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
25,0.6947,0.6945,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
26,0.6945,0.6932,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
27,0.6944,0.6935,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
28,0.6955,0.6932,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
29,0.6958,0.6986,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
30,0.6956,0.6943,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
31,0.6957,0.6939,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
32,0.6967,0.6941,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
33,0.6944,0.6944,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
34,0.6942,0.6971,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
35,0.6957,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
36,0.6972,0.6932,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
37,0.6952,0.6938,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
38,0.6945,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
39,0.6931,0.6967,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
40,0.6952,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
41,0.6957,0.6932,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
42,0.6947,0.6947,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
43,0.6943,0.6944,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
44,0.6951,0.6933,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
45,0.6942,0.6973,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
46,0.6952,0.698,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
47,0.6944,0.6987,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
48,0.6953,0.6938,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
49,0.6947,0.6938,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
50,0.6941,0.6976,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
51,0.6949,0.694,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
52,0.6944,0.6947,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
53,0.6939,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
54,0.694,0.6937,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
55,0.6961,0.6958,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
56,0.6937,0.6933,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
57,0.6949,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
58,0.6938,0.6939,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
59,0.694,0.6933,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
60,0.6959,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
61,0.6953,0.6971,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
62,0.6949,0.6932,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
63,0.6951,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
64,0.6959,0.6947,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
65,0.6947,0.6989,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
66,0.6967,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
67,0.694,0.6933,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
68,0.6941,0.6953,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
69,0.6966,0.6938,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
70,0.6953,0.6932,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
71,0.6962,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
72,0.6952,0.6935,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
73,0.6948,0.695,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
74,0.6969,0.6973,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
75,0.6949,0.6973,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
76,0.6952,0.6987,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
77,0.6965,0.6941,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
78,0.6952,0.6931,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
79,0.6963,0.6935,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
80,0.6949,0.6942,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
81,0.6954,0.6933,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
82,0.6947,0.6935,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
83,0.6958,0.693,0.5096901966331872,0.3376,MLP-ReLU-SGD-0.1-0
84,0.6942,0.6966,0.49030980336681285,0.329,MLP-ReLU-SGD-0.1-0
