epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
41,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
42,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
43,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
44,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
45,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
46,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
47,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
48,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
49,0.6932,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
50,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
51,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
52,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
53,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
54,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
55,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
56,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
57,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
58,0.6932,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
59,0.6931,0.6931,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
60,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
61,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
62,0.6931,0.693,0.6932,0.502970297029703,0.3347,0.5075682557646061,0.3367,0.498682651671883,0.3327,MLP-ReLU-Adagrad-0.01-0
