epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
58,0.4896,0.5102,0.7474890366388457,0.7449,MLP520-Tanh-Adagrad-0.1-0
59,0.4908,0.5123,0.7426793040033951,0.7364,MLP520-Tanh-Adagrad-0.1-0
60,0.4895,0.5095,0.7487622011599944,0.7474,MLP520-Tanh-Adagrad-0.1-0
61,0.4893,0.5082,0.7476304993634177,0.7458,MLP520-Tanh-Adagrad-0.1-0
62,0.4889,0.5114,0.7487622011599944,0.7466,MLP520-Tanh-Adagrad-0.1-0
63,0.4898,0.5116,0.7474890366388457,0.7435,MLP520-Tanh-Adagrad-0.1-0
64,0.4881,0.5089,0.749893902956571,0.747,MLP520-Tanh-Adagrad-0.1-0
65,0.488,0.5104,0.7481963502617061,0.7472,MLP520-Tanh-Adagrad-0.1-0
66,0.4887,0.5099,0.7460744093931249,0.7456,MLP520-Tanh-Adagrad-0.1-0
67,0.4889,0.5107,0.7487622011599944,0.7458,MLP520-Tanh-Adagrad-0.1-0
68,0.4875,0.5149,0.7453670957702645,0.7453,MLP520-Tanh-Adagrad-0.1-0
69,0.488,0.5085,0.7460744093931249,0.7454,MLP520-Tanh-Adagrad-0.1-0
70,0.4871,0.5101,0.7484792757108502,0.7463,MLP520-Tanh-Adagrad-0.1-0
71,0.4879,0.5088,0.7479134248125618,0.7462,MLP520-Tanh-Adagrad-0.1-0
72,0.4868,0.5132,0.7449427075965483,0.7449,MLP520-Tanh-Adagrad-0.1-0
73,0.4865,0.5227,0.7384354222662328,0.7381,MLP520-Tanh-Adagrad-0.1-0
74,0.4878,0.5093,0.748054887537134,0.7459,MLP520-Tanh-Adagrad-0.1-0
75,0.4854,0.5174,0.7448012448719762,0.7447,MLP520-Tanh-Adagrad-0.1-0
76,0.4871,0.5089,0.7481963502617061,0.747,MLP520-Tanh-Adagrad-0.1-0
77,0.4872,0.5124,0.7455085584948367,0.7448,MLP520-Tanh-Adagrad-0.1-0
78,0.4863,0.5144,0.7481963502617061,0.7446,MLP520-Tanh-Adagrad-0.1-0
79,0.4857,0.5132,0.7467817230159853,0.7457,MLP520-Tanh-Adagrad-0.1-0
80,0.4847,0.5122,0.7446597821474041,0.7443,MLP520-Tanh-Adagrad-0.1-0
81,0.4839,0.5119,0.7456500212194087,0.7451,MLP520-Tanh-Adagrad-0.1-0
82,0.484,0.5133,0.7439524685245438,0.7437,MLP520-Tanh-Adagrad-0.1-0
83,0.4837,0.5121,0.7473475739142736,0.7455,MLP520-Tanh-Adagrad-0.1-0
84,0.4833,0.514,0.7469231857405574,0.7443,MLP520-Tanh-Adagrad-0.1-0
85,0.4841,0.5116,0.7460744093931249,0.745,MLP520-Tanh-Adagrad-0.1-0
86,0.4831,0.5108,0.7486207384354223,0.7471,MLP520-Tanh-Adagrad-0.1-0
87,0.4828,0.512,0.7476304993634177,0.7459,MLP520-Tanh-Adagrad-0.1-0
88,0.4829,0.5116,0.7472061111897015,0.7459,MLP520-Tanh-Adagrad-0.1-0
89,0.4825,0.5132,0.7449427075965483,0.7417,MLP520-Tanh-Adagrad-0.1-0
90,0.4817,0.5148,0.7474890366388457,0.7467,MLP520-Tanh-Adagrad-0.1-0
91,0.4817,0.5143,0.7497524402319988,0.7481,MLP520-Tanh-Adagrad-0.1-0
92,0.4835,0.5194,0.7448012448719762,0.7448,MLP520-Tanh-Adagrad-0.1-0
93,0.483,0.5133,0.7473475739142736,0.7465,MLP520-Tanh-Adagrad-0.1-0
94,0.4805,0.5168,0.7484792757108502,0.7461,MLP520-Tanh-Adagrad-0.1-0
95,0.4802,0.5217,0.7429622294525392,0.743,MLP520-Tanh-Adagrad-0.1-0
96,0.4815,0.5122,0.7491865893337105,0.7475,MLP520-Tanh-Adagrad-0.1-0
97,0.4806,0.5158,0.7491865893337105,0.7467,MLP520-Tanh-Adagrad-0.1-0
98,0.4805,0.5127,0.7477719620879898,0.7466,MLP520-Tanh-Adagrad-0.1-0
99,0.4795,0.5121,0.7429622294525392,0.7426,MLP520-Tanh-Adagrad-0.1-0
100,0.481,0.5129,0.7479134248125618,0.7462,MLP520-Tanh-Adagrad-0.1-0
1,0.5578,0.531,0.7340500778044985,0.7331,MLP520-Tanh-Adagrad-0.01-0
2,0.5312,0.5261,0.7361720186730797,0.7359,MLP520-Tanh-Adagrad-0.01-0
3,0.5251,0.5214,0.7418305276559627,0.7401,MLP520-Tanh-Adagrad-0.01-0
4,0.5205,0.523,0.7391427358890932,0.7391,MLP520-Tanh-Adagrad-0.01-0
5,0.5174,0.5168,0.744235393973688,0.7436,MLP520-Tanh-Adagrad-0.01-0
6,0.5137,0.5145,0.74437685669826,0.743,MLP520-Tanh-Adagrad-0.01-0
7,0.5124,0.5137,0.7436695430753997,0.7428,MLP520-Tanh-Adagrad-0.01-0
8,0.5126,0.5147,0.7466402602914132,0.7436,MLP520-Tanh-Adagrad-0.01-0
9,0.5104,0.5127,0.7472061111897015,0.7451,MLP520-Tanh-Adagrad-0.01-0
10,0.5084,0.5121,0.742396378554251,0.7419,MLP520-Tanh-Adagrad-0.01-0
11,0.5071,0.5242,0.7351817796010751,0.735,MLP520-Tanh-Adagrad-0.01-0
12,0.5078,0.5228,0.7371622577450841,0.737,MLP520-Tanh-Adagrad-0.01-0
13,0.5069,0.5119,0.7428207667279672,0.7425,MLP520-Tanh-Adagrad-0.01-0
14,0.5062,0.5138,0.7414061394822464,0.7413,MLP520-Tanh-Adagrad-0.01-0
15,0.5054,0.5149,0.7459329466685528,0.7411,MLP520-Tanh-Adagrad-0.01-0
16,0.5055,0.5087,0.7467817230159853,0.746,MLP520-Tanh-Adagrad-0.01-0
17,0.5047,0.515,0.7406988258593861,0.7407,MLP520-Tanh-Adagrad-0.01-0
18,0.5048,0.508,0.7473475739142736,0.7464,MLP520-Tanh-Adagrad-0.01-0
19,0.5041,0.51,0.7439524685245438,0.7436,MLP520-Tanh-Adagrad-0.01-0
20,0.503,0.509,0.7450841703211204,0.7446,MLP520-Tanh-Adagrad-0.01-0
21,0.5033,0.5071,0.7472061111897015,0.7461,MLP520-Tanh-Adagrad-0.01-0
22,0.5032,0.5079,0.7472061111897015,0.7466,MLP520-Tanh-Adagrad-0.01-0
23,0.5035,0.5112,0.7481963502617061,0.7444,MLP520-Tanh-Adagrad-0.01-0
24,0.5037,0.5108,0.744235393973688,0.7441,MLP520-Tanh-Adagrad-0.01-0
25,0.5022,0.5069,0.7481963502617061,0.7468,MLP520-Tanh-Adagrad-0.01-0
26,0.5035,0.5077,0.7487622011599944,0.7461,MLP520-Tanh-Adagrad-0.01-0
27,0.5024,0.5066,0.7490451266091385,0.7476,MLP520-Tanh-Adagrad-0.01-0
28,0.5025,0.5126,0.7474890366388457,0.7427,MLP520-Tanh-Adagrad-0.01-0
29,0.5025,0.509,0.7453670957702645,0.745,MLP520-Tanh-Adagrad-0.01-0
30,0.5022,0.5083,0.7453670957702645,0.745,MLP520-Tanh-Adagrad-0.01-0
31,0.5021,0.507,0.7506012165794314,0.7481,MLP520-Tanh-Adagrad-0.01-0
32,0.5033,0.5062,0.7474890366388457,0.7462,MLP520-Tanh-Adagrad-0.01-0
33,0.5026,0.5117,0.7470646484651294,0.7423,MLP520-Tanh-Adagrad-0.01-0
34,0.5014,0.5059,0.7496109775074268,0.7483,MLP520-Tanh-Adagrad-0.01-0
35,0.5011,0.5068,0.7460744093931249,0.7454,MLP520-Tanh-Adagrad-0.01-0
36,0.5023,0.5064,0.7477719620879898,0.7469,MLP520-Tanh-Adagrad-0.01-0
37,0.5024,0.5063,0.7477719620879898,0.7469,MLP520-Tanh-Adagrad-0.01-0
38,0.502,0.5089,0.7452256330456924,0.745,MLP520-Tanh-Adagrad-0.01-0
