epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
36,0.6948,0.6931,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
37,0.6963,0.6941,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
38,0.6962,0.6974,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
39,0.6946,0.6931,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
40,0.6955,0.6932,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
41,0.6976,0.6939,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
42,0.697,0.6933,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
43,0.6949,0.6957,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
44,0.6945,0.6931,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
45,0.6956,0.6952,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
46,0.6943,0.6945,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
47,0.6973,0.6931,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
48,0.6952,0.6946,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
49,0.6947,0.6962,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
50,0.6967,0.7,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
51,0.6948,0.6933,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
52,0.695,0.696,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
53,0.6948,0.6953,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
54,0.6947,0.6935,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
55,0.6948,0.6959,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
56,0.6938,0.6981,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
57,0.6954,0.6935,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
58,0.694,0.7092,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
59,0.6956,0.6938,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
60,0.6949,0.6947,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
61,0.6946,0.6939,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
62,0.6939,0.695,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
63,0.6954,0.6931,0.5062950912434574,0.3361,MLP520-Sigmoid-SGD-0.1-0
64,0.6948,0.6979,0.49370490875654266,0.3305,MLP520-Sigmoid-SGD-0.1-0
