epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
61,0.5002,0.5219,0.7412646767576744,0.7359,MLP520-Tanh-SGD-0.1-0
62,0.4961,0.5176,0.7483378129862781,0.7476,MLP520-Tanh-SGD-0.1-0
63,0.4939,0.5217,0.744235393973688,0.7401,MLP520-Tanh-SGD-0.1-0
64,0.4886,0.5368,0.7242891498090254,0.7123,MLP520-Tanh-SGD-0.1-0
65,0.495,0.5152,0.7496109775074268,0.7484,MLP520-Tanh-SGD-0.1-0
66,0.4898,0.5589,0.7268354788513227,0.7259,MLP520-Tanh-SGD-0.1-0
67,0.4961,0.5248,0.7460744093931249,0.7428,MLP520-Tanh-SGD-0.1-0
68,0.5022,0.5191,0.7416890649313905,0.7406,MLP520-Tanh-SGD-0.1-0
69,0.4914,0.5276,0.7504597538548592,0.75,MLP520-Tanh-SGD-0.1-0
70,0.5031,0.5416,0.7136794454661197,0.7116,MLP520-Tanh-SGD-0.1-0
71,0.4907,0.5249,0.7477719620879898,0.7466,MLP520-Tanh-SGD-0.1-0
72,0.4891,0.5269,0.7460744093931249,0.743,MLP520-Tanh-SGD-0.1-0
73,0.4939,0.5352,0.7457914839439808,0.7455,MLP520-Tanh-SGD-0.1-0
74,0.4885,0.534,0.7388598104399491,0.7387,MLP520-Tanh-SGD-0.1-0
75,0.4864,0.535,0.7445183194228321,0.7419,MLP520-Tanh-SGD-0.1-0
76,0.4871,0.5316,0.7446597821474041,0.7435,MLP520-Tanh-SGD-0.1-0
77,0.4817,0.5594,0.73687933229594,0.7305,MLP520-Tanh-SGD-0.1-0
78,0.491,0.5379,0.7404159004102419,0.7404,MLP520-Tanh-SGD-0.1-0
79,0.4902,0.518,0.7491865893337105,0.7487,MLP520-Tanh-SGD-0.1-0
80,0.4885,0.5298,0.7432451549016834,0.739,MLP520-Tanh-SGD-0.1-0
81,0.4834,0.538,0.7370207950205121,0.737,MLP520-Tanh-SGD-0.1-0
82,0.4828,0.5759,0.7346159287027868,0.7346,MLP520-Tanh-SGD-0.1-0
83,0.4911,0.5303,0.7446597821474041,0.7446,MLP520-Tanh-SGD-0.1-0
84,0.4842,0.5203,0.7399915122365257,0.739,MLP520-Tanh-SGD-0.1-0
85,0.4793,0.5291,0.7385768849908049,0.7384,MLP520-Tanh-SGD-0.1-0
86,0.487,0.5239,0.7421134531051068,0.7417,MLP520-Tanh-SGD-0.1-0
87,0.4856,0.5596,0.7213184325930118,0.7199,MLP520-Tanh-SGD-0.1-0
88,0.4841,0.5301,0.7395671240628094,0.7385,MLP520-Tanh-SGD-0.1-0
89,0.4768,0.6033,0.7399915122365257,0.74,MLP520-Tanh-SGD-0.1-0
90,0.4865,0.5287,0.740557363134814,0.7404,MLP520-Tanh-SGD-0.1-0
91,0.4856,0.5585,0.7299476587919084,0.7214,MLP520-Tanh-SGD-0.1-0
92,0.4837,0.5433,0.7391427358890932,0.7362,MLP520-Tanh-SGD-0.1-0
93,0.4794,0.534,0.7285330315461875,0.7284,MLP520-Tanh-SGD-0.1-0
