epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.5619,0.5327,0.5449,0.7281471004243282,0.7275,0.7391427358890932,0.7389,0.7272646897600481,0.7269,MLP520-Tanh-Adagrad-0.01-0
2,0.5353,0.5323,0.5411,0.734936350777935,0.731,0.7398500495119535,0.7371,0.7304652273088961,0.7271,MLP520-Tanh-Adagrad-0.01-0
3,0.5269,0.5188,0.5294,0.7403111739745403,0.7384,0.7504597538548592,0.7493,0.7383869998054922,0.737,MLP520-Tanh-Adagrad-0.01-0
4,0.5218,0.513,0.5247,0.7432814710042432,0.742,0.7503182911302871,0.7496,0.7410747440454087,0.7401,MLP520-Tanh-Adagrad-0.01-0
5,0.5179,0.5097,0.5216,0.7435643564356436,0.7432,0.7473475739142736,0.7472,0.7431612823369229,0.7429,MLP520-Tanh-Adagrad-0.01-0
6,0.5153,0.5072,0.5192,0.7446958981612447,0.7442,0.7501768284057151,0.7499,0.7444167418174102,0.744,MLP520-Tanh-Adagrad-0.01-0
7,0.5134,0.5063,0.5179,0.7452616690240452,0.7443,0.7520158438251521,0.7514,0.7454953760189557,0.7447,MLP520-Tanh-Adagrad-0.01-0
8,0.5116,0.5057,0.5175,0.7472418670438472,0.746,0.753713396520017,0.753,0.7457429314094743,0.7448,MLP520-Tanh-Adagrad-0.01-0
9,0.5106,0.51,0.5193,0.7485148514851485,0.7456,0.7494695147828547,0.7473,0.7436033455342775,0.741,MLP520-Tanh-Adagrad-0.01-0
10,0.5097,0.5089,0.5184,0.749080622347949,0.7463,0.7507426793040034,0.7488,0.7441691864268916,0.7417,MLP520-Tanh-Adagrad-0.01-0
11,0.5096,0.5046,0.5166,0.746958981612447,0.7469,0.7501768284057151,0.7502,0.74496490018213,0.745,MLP520-Tanh-Adagrad-0.01-0
12,0.5079,0.5048,0.5146,0.7506364922206507,0.749,0.7501768284057151,0.7491,0.7463971849415593,0.7449,MLP520-Tanh-Adagrad-0.01-0
13,0.5084,0.5019,0.5133,0.74992927864215,0.7492,0.7527231574480124,0.7523,0.7471398511131151,0.7466,MLP520-Tanh-Adagrad-0.01-0
14,0.5076,0.5029,0.5159,0.7475247524752475,0.7475,0.7504597538548592,0.7505,0.746379502413665,0.7464,MLP520-Tanh-Adagrad-0.01-0
15,0.5069,0.5011,0.5132,0.7492220650636492,0.7488,0.7524402319988683,0.7523,0.7472459462804802,0.747,MLP520-Tanh-Adagrad-0.01-0
16,0.5062,0.502,0.5142,0.749080622347949,0.749,0.75187438110058,0.7519,0.7467331529715489,0.7467,MLP520-Tanh-Adagrad-0.01-0
17,0.5068,0.5042,0.5137,0.7527581329561528,0.7508,0.750035365681143,0.7487,0.7476172793662582,0.7459,MLP520-Tanh-Adagrad-0.01-0
18,0.5062,0.501,0.5131,0.751060820367751,0.7509,0.7527231574480124,0.7527,0.7469983908899617,0.7469,MLP520-Tanh-Adagrad-0.01-0
19,0.5064,0.5004,0.5122,0.750919377652051,0.7504,0.7534304710708728,0.7532,0.7472813113362686,0.7469,MLP520-Tanh-Adagrad-0.01-0
20,0.5067,0.5011,0.5135,0.7506364922206507,0.7505,0.7532890083463007,0.7533,0.747122168585221,0.747,MLP520-Tanh-Adagrad-0.01-0
21,0.5063,0.5007,0.5115,0.7521923620933522,0.7514,0.7510256047531475,0.7506,0.7478117871730943,0.7472,MLP520-Tanh-Adagrad-0.01-0
